input|output
  Wenk.| I love you.
  Wenk.| I know. You don't like when I'm contemplative. ...C-contemplative... No, con-temp-la—Let's put on a play!
  Wenk. Wenk wenk. | No, Gunther, beard stays on.
  Wenk.| Gunther, I need ya to wear the beard!
  Wenk!| Gunther!
  Wenk.|"  Now hold still...  You moved! Hey, what's this?  ""Secret tapes""?! I wanna watch! I'll catch ya later, Gunther! "
   You're Gunther. | Oh, fine! Who needs you? More dance party for us, right, Gunther?  Oh... Eh...  May I have this dance? Heh! 
  Cool.| Hey, guys, it's me. Can I come in and watch the secret tapes with you? I brought some gifts! 
  Okay. If we're quiet long enough, Ice King will think no one's home and go away.| Eh... No one's home. Guess I'll go away. 
 Other|  Huh?
  Just turn your alarm off!| Hmm. That sounds like BMO! 
  Hey, Princess. We got disconnected.|  Hello, Finny. 
  Hey/Uhhh, you sound weird!| Must be a bad connection. That's why we were disconnected earlier on the telephone.
   So... how's the weather in Candy Kingdom?|  Oh, the usual. There's ice everywhere and it smells like penguins!
  The only thing that smells like penguins is you, Ice King!!|  How did you—
  What're you doing?!| I wanna watch secret tapes with you guys. It'll be nice.
  No, man!| But—
   He doesn't know that we're watching his tapes. We gotta find these evil secrets before he uses them against us!| Oh... Fine. No more nice. NOW YOU GET ICE!!  Try watching those tapes with FROZEN EYEBALLS!
  Yeah, it's kinda chilly in here.|  Agh... What's on those tapes...? I can kinda... make it out... Dang it, BMO, just turn to your right a little.... Ugh!! By the power of ice... I want your cup of cocoa to fall over.  Yes! Now turn and pick it up...  Yes... Yes...  That's... me?  THEY'RE WATCHING MY SECRET TAPES?!  And they're cozy. I'll show them.  This snowman looks pretty good.  Pretty darn good! 
  Oh, my Glob, Jake... Is this it? Could this be the Ice King's evil secret?   WHAT DOES IT MEAN?!| Some of you won't survive this. You'll melt or split in half or your head will fall off... but that's fine... because you're made of snow. Only one thing matters today! Getting into that tree house, getting my tapes back, and beating up Finn and Jake!  Maybe BMO. Yeah, BMO too! Who's with me?!  Hey, why're you guys so quiet? Are you mad?  Oh, that's right. You're not alive yet. My bad.
 Other| Gimme my tapes back.
  No, man! I know you've got evil secrets on these, and we're gonna find 'em!| Snowmen! Attack!
  Please! Let me go home!|"  So, Princess ""Please-let-me-go-home,"" what was it like to experience this tragedy?"
  What?  I... I don't... uh... um...| Yeah, we're on air, honey, so spit it out.
  I... I don't know what you're talking about.| Obviously traumatized and in a state of shock. Let's go ask somebody else something.  Upside-down Princess, do you think things will change politically because of today's events?
  You're really frightening me.| Well, there ya have it, folks. People are very upset that Gunther tried to eat Ice King's socks! Very upset! That's why Gunther has to stay in the corner! 
  Weird...  He's sneakin' in through the chimney!| Ah... The element of surprise... Ah, jeez, I'm filthy.  Well, now I'm cleaner, but I'm also nakeder.  Ohh! Mmm...  Just what I need...  Hehehehe...  Come on, come on!
  Yeeeesh.....|  They wouldn't be in the fruit bowl!  Ohhh! Well, look at you with your nose shining so bright! You're so unique! Hehe! I'll name you Red-nose, and make you leader of the pack!  Eh... Well, now you look boring.  You want somethin' done right, ya gotta do it yourself. 
 Other| Now gimme my evil tapes back!! They're supposed to be buried!! In the ground!!  Snow goons!!
  Play it! His evil secret must be on that tape!!|  No, BMO, please don't play it.
  Hello. My name is Simon Petrikov. I am recording this tape so that people will know my story.| Oh, no! Turn it off, BMO, turn it off!!
  Drrr-AMA bomb!!| Now you know my secret! You know... that I used to wear glasses!  Maybe kidnapping Wildberry Princess will cheer me up.
  Wait, Ice King.  BMO, eject tape, please.  Here, Ice King.| What's this? You're giving me... a gift.
  No... It's... well... These belong to you.| But it's not even my birthday! This is so exciting!  Video tapes! Heh, you know, I had a bunch of these once, but I threw them away! This is great, Finn! Thank you!
  It's from me, too.| Oh! I have presents for you guys, too!  Here. It's a small pine tree. I chopped it down in one foul swoop! And this  is for you!
   Uh... thanks.| Oh, isn't this fun?! We're giving each other presents, we're wearing silly clothes, there's snow everywhere... Let's do this every day!
  How about once a year?| Okay, that sounds good.
  Thanks, Princess. Peace out.| Blegh, Gunter, something stinks!  Gunter, do you smell that?  GUNTER, STOP PLAYING THE KEYBOARD!!  Smells like it's comin' from...  Gunter, are you blowin' it up in here?  You are nasty, Gunter! You got a nasty booty, mister! Nasty!  Oh, don't be sad, stinky. Come with daddy and I'll make it aaaall better.
 Other| Goodbye, Gunter. Sorry, sweetie, but I'm never gonna get any princesses if you're stinkin' up the place!  Blaaaah, it still stinks in here! What the heck! Where's that smell comin' from?!  Oh, it's me. I smell horrible.
 Other| Scrub, penguins! Scrub harder! We are not stopping until the stench is completely gone!
 Other|  Clean clean, clean ka-clean.  Gunter! Guess what? It was me who was smelly, not you!
   Wenk.| Sorry. I thought you had a stank booty, Gunter. My bad. Although I have no idea how my armpits got so stinky.
  Stop lying! We found your fingerprints at the crime scene!|  What? Really?
  Uuh... no.| Oh, well...then...why would you say that?
  Ice King, we know you did it!| Finn, I'm as concerned as you are. There's some sicko out there... What if he comes after my princess?
  Your princess?| Yeah... let me introduce you to my new wife.  Oh, wait...you mean I'm the guy stealing all the p— Yeah, okay, I get it now.
  What happened to them, husband?| Hmmm... mmm aah! They're sleepy. They are our limp sleepy children! Come on wife, let's have a nice family meal.
  Okay.| Wife, you sit here. Isn't this nice?
 Other| Uh oh... I mean, that's good!  Oops! How fun! You're so fun!
  Hahahahaha!| Aww... marriage is fun!
 Other| See, when you wash and I dry, we get done faster! Then tomorrow night we switch!
 Other| Here, let me show you a trick, my darling. See, you let it soak and we'll wash it in the morning.
 Other| Enough chores... come along, dear. I want to show you something special...
 Other| Here it is. I hope you like it...
  Is there something wrong with me? The way I am...it's not normal... is it?| Oh... pretty baby wife. You're the most normal thing in my whole life. We're like two normal jelly beans sitting at the bottom of the jar, floating in a sea of olives, waiting for somebody to guess how many jelly beans are in the jar... which I mentioned.
  I don't think I understand...| Just look into my eyes and know that everything is okay.
 Other| Are you feeling normal yet?  Okay.  See that? We're normal, just like the normal people are.
   Monster!| Oh... don't mind the kids! It's just a phase!
  I need a glass of water.| Ooh, I'll go get—
  You are not normal! You are a  monster!|  Hey, hey, hey....
  Monster! A monster!| What's going on in here? Nobody's a monster! All I see in this room is a young, kind-hearted, intelligent, hot-looking ice king, and his beautiful princess bride! That's you, sweetie...
  I don't feel beautiful. I feel like a freak!| I will prove to you that you are beautiful!
 Other| To me, my penguins! Gunter, Gunther, Gunder, Goonder, come on! Gunter, Goonthy, Gonter, Ginthy, follow!
 Other| Don't rearrange the chairs please. You're all gonna clap and cheer or I'm gonna smack your buns.  Whoo! Yeah! ...
  Where is she? Oh! I think she's right over...| Hey!
 Other| Baby, do you want to talk about it?
  You should just find another princess to marry. I'm unlovable!| Girl, I love you as much as all of the other princesses in the world combined!
  You don't really mean that...| I'll prove it! See, you have Elbow Princess's hips, and Dr. Princess's heart and intestines, Slime Princess's bottom... You have all my favorite parts of my favorite princesses!
   I'm just a bunch of stolen parts?!| Oh, the parts don't matter. It's you that matters.
  But... who am I?| You're my wife! And I will always love my wife no matter what!
  You'd love me, even without these other princess's parts?| Sure, baby, even without all your fine lady parts. Now give us a hug.
  Your wife's face can't make us faint anymore!| Don't listen to them babe; they're being negative! Run, my happiness! I'll distract them with ice magic!
  Do you give up?!| Yes! I give up...
  Huh?| Let me go! Let me go!
  Though my parts be scattered, I will always be your wife.| She... she... gave away all my stuff!
   It's just a dumb old leaf, ya dumb old Ice King.|  I know, but it's mine.
  Wait! What?! Ice King! You can hear me?| Yes... Why? Are you makin' fun of me or something?
  No, it's just no one else can see me or hear me talk.| Ohhhh, yeah.... You're trapped in the Spirit Realm. I can see all things Spirit with my... Wizard Eyes!
  Man... Never thought I'd be happy to talk to you, Ice King. Can ya help me get free??| Oh, yeah, I know all the ins and outs. And I'd do anything for a friend like you.
  Wenk.| Quiet, Gunter. Can'tya see I'm hanging with Finn?
  Wenk wenk.| I know I say that a lot, but this time it's true!
  Anyways... Where do all these spirits come from?| Oh, there are portals all over the universe. I have one in my basement! Every once in a while, a real cutie pie drifts through. Ooh!  Oh, gosh, there she is.  Mm, oh, yeah... 
  Sick.| What? I swear I never touch 'em! I can't!  Can't touch this, can't touch this...  Can't touch this, either.  Yep, I can't kill any of them.   I hate them... Okay, alright! 'Nuff messin' around. Let's getcha free from the Spirit Plane.
  Cool.| Sooo, the only way to get out of the Spirit World is to stick all these lousy things in the Spirit Hole down there. Then plug up the hole with that.
  And doing that will set me back to normal??| Mm-hmmmm, trust me! We are tur-bros! Turbo bros! Tur-bros. Turbo. ...Bros.
  I... did it.  I did it. I'm ready, Ice King. Make me normal now.| Ohhh, that's not all of 'em. There's this other guy that watches me. He's... super creepy.  Do ya see it?? Oh, it see's you...  Catch it and put it in the Spirit Hole! In the Spirit Hole where it can't see me anymore so you can be free!!  Get it! Get it!!  GET IT IN THE HOLE!!
   Ew! Ew! Ew!  Eeeewwww!! | Yes! It's gone!
  So... now I can go back to normal.| Uhhh, wait, though.
  ...What?| There's this last guy you gotta get. He's pretty much the worst. He usually leaves these gross heads around, but I'm not seeing them anywhe— OH!  THERE IT IS! THERE IT IS!!
  Wanwan. Wanwan. Wanwan.|  Nooo...
  Wanwan! Wanwan!| NO! DON'T COME NEAR ME!!
  What is that?| It's from the dead one. He leaves these heads around everywhere. I can't even touch them, but it still creeps me out...
  Wanwan!| Please get rid of him!
  What do I do? Follow the heads?|  USE THE HEADS!! Oh, snow, please!
  Oh, my what? The cave?? How the...??? ...Weird. That's weird, but whatevs, though.  Whatevs. Ice King! Ice Kiiiing!  Where'd you go, Simon?  Ice King?  Dude, come on, what?| Ha ha, Finn! You fell right into for my brilliant plan  that I formed out of the thin air like a true Magi! Not only did I get you to remove those horrible creatures from my castle, but now you're trapped, and only I can see you. So if you want friends, this is it, pal! 
   I'm gonna re-open the hole.| NO, WAIT, MY PLAN FELL APART!!  My... new plan is that you don't open the hole, and I destroy the porcelain lamb which will bring you back to the material plane. Heh heh... heh.
 Other| Jake.  AGH, BLUH! GIMME THAT LAMB!
  NO!!  Finn's trapped in here!!| That's why I have to smash it!!
  You donk! I will smash you!! WAAAH!! | Escaped!  AAAH! My winter body!! I was gonna start up on the elliptical again, but I got depressed, okay?! Don't look at me!! 
   Whoooo?!| AAH! They're touching me for real! EWW!!
  Great. Now we're both stuck in here.|  FINN, GIVE ME YOUR CLOTHES! 
  STOP! WUUH!| I need a buffer!! AAAH! 
  Ah, jeez, come on!|  I'm sorry... I'm sorry, they were just touching me on the body... I'm sorry... 
  Whoa, do that again.  Your hand is affecting the TV! We must have some kinda subtle effect on the material plane!| Cooool. Whaddaya think, Finn? Can we pull back the veil of static and reach into the source of all being? Behind this curtain of patterns... this random pattern generator... So clever... right here in every home, watching us from a one-sided mirror...  Heh heh heh, whoops! Just wizard-talkin' to myself!
  It's okay! But let's use our subtle influence to break the lamb!| Yeah, a'ight. You mean like this?
  Yeah, man! Bwoooo!  It's workin', man! Combine the swirls!| Okay! Wha-zah!!
 What did you say??|I really did it this time! They're loose, and they're coming for us!
 Other|Ach! Where the turd is my Demonic Wishing Eye?! Grrrr...  I've looked everywhere! Ugh...
 Wenk!|What is it, girl?
 Wenk. |You know where it is? Lead the way! Oh boy, this is just wonderful!  Hmnh.  Agh! You just want me to brush you! You know this brush is for princesses only?  Ah, princesses only. No Gunthers!
 Other| What are my options here? Hmm. Hm-hm.  Gunther! What is your damage today?  Ooh! Wizard market!  W-I-Z-...
 Other|Hey!  You're really peeving me off, Gunther! Go stand in the corner!
 Other|I said stand in the corner.
 Other|Ugh. You make me sick.  Try not to break anything while I'm gone.
 ICE KIIIIING! |Wizards rule.
 Other| Doot-doo, deet-dee-doo. Ah, let's see.  That's the symbol for magic items, right?  Hey, this is the magic items shop, right?
 What's it look like, ya donk?|I know that, I know! Why can't they write it on the sign, though? Why's it all gotta be secret? Let's just put it all out there, huh? Equal distribution of magic to the people!  No more symbols! No more initiations!  Ya feelin' me, Huntress Wizard?
  You tryin' to get killed, Ice King?|"Uh-uh, I was just steppin' to ya, girl, with my intellectual wizard politics.  No, don't go.  Well, ""Swing at every ball,"" that's what Jay T. Doggzone says.  Hello?"
 Of course, man. In shadow, we find the light...  safely sealed in darkest night. So make sure y'all keep it tight. Wizards only, fools.| Keep what tight?
 A secret you never should've heard, Ice King.| Yo. Guys. Chill. I lost my Demonic Wishing Eye.  Just get me a new one and I'll jet. I didn't hear nothin' about no weird, secret wizard club that I want to be a part of.
 Sorry, man.  Nothing personal.|Oh, slid—  You guys!  Ah!  Whoa!
  Goodbye... Princess!|Hey. What's goin' on here? Why's this place all crazy? I was just flying by and—  Gunther! You took my stuff!
 Wenk.|That's bad. You know what you get now?!
  Wenk.|That's right, you get the squirty-squirts.  Bad, bad. Now take off my Demonic Wishing Eye.
 Other|Alright, Gunther. Now go home.
  Wenk.|That's right, walk. And while you're walking home, you think about what you did.  It's getting worse and worse with him. He just—he hates it when I leave the castle. I'm sorry, guys.
 Yeah, and why are you all jacked up?|"Heh... well, I got into some crazy wiz biz over in Wizard City. Honestly, I don't even know how I survived. Basically, it was the craziest showdown ever. I— I wish I could tell you all about it, but you know—""Wizards only, fools."" Keep it tight."
  Wenk! | One, two, three...   Gunter!    It's rhetorical, Gunter. Marceline's songs are so good! Mmm... Maybe I can get Marceline to write a song with me!  Man, if she helped me write a song like that, I'd be crushin' it nonstop with the princesses! Ooh, yeah!  Heh! Gunter, you cute little dummy. You know, Gunter, my song is gonna need some dope lyrics to lure the honeys in. Hmm.
 Other|" Jay T. Doggzone always says, ""Ladies are drawn to bros with tortured pasts."" And I've got a way tortured past! ...I think. I don't really... re...  Hmm.  Quickly, Gunter! To the ""The Past"" room!"
 Other| Lot of emotional, powerful stuff in here.  Still wet with tears... I'll take some-a' these for lyrical inspiration.  So where's Marceline living these days?
  Wenk.| A cave?? 
  Dinner roll!| Hello? Anybody home?
   No...  What are you doing here? I told you not to come around me!|  Uh, yeah, I know, but... I was hoping you could help me write a song—one that could help me get some princess action.
  I'm not gonna help you pick up on chicks!|  Come on! We could be a prog rock duo! I'll even split the fans with you. I get the princesses, and you get... whatever it is you're into. Sounds good, yeah, I think it does!  Ee-yoop!
   Hey!!| Eh...
  Get outta here!!| Wait! Just let me play you what I've written so far!   Oh. Dang it. Tangles in the cord. Sometimes this happens when you fly with it... Tangles are hard...  Oh. Aw, aw, geez, no... Oh, no.  Ice King's in trouble.    Hey, you know what? I'll just hum it for ya.  Is that good?
  Wha?!|" Yeah, ""Wha?!"""
  Bye... |  You know, I kinda like bein' tied up in these cords. Kinda freak-aaaayyy!
  So what kinda song're we playing?| Ooh. I brought these  for some inspiration. Just use these to work off of. Y'know, a template.
  Oookaaaay...| Yeah. Yeah, that's good! Keep doin' that!   Slime Princess, you're alright. Flame Princess, you're okay. Wildberry Princess could be better. All of the princesses are pretty alright, but... Oh, Bubblegum! You look like a lot of fun! I'm right outside, and that is how I know! Hey, princess, did you get my text with a picture of my awesome gun show? I'm also workin' on my pecs! If you like, I'll send a picture of that, too! Oh, Bubblegum!  I really need someone.  Or anyone!  ...Pretty much anyone. I'm so alone!  Won't somebody tell me what's wrong with me?!  Anybody!  Anybody!   Anybody!!!  Grod in the sky, please tell me why!!!
  Stop acting like this!!| No, it's just startin' to get good!!  Anybody!!  Princesses, I command you, love me!! Love me!! Love me!!  Love me!!
   STOP ACTING CRAZY.| I JUST WANNA BE LOVED!!  Uh-oh. I'm sorry I pushed you.  Uh... oh... I'll just stay out of your way.  Again, I'm sorry I pushed you.
  Huh?| Whatcha got? An apple?
   Ugh!   You're so annoying, you pitiful old man. I'd like to help you, but I don't know if I can. I thought you were nuts, but you're really really really nuts.  Every time I move, eventually, you find me, and start hanging around. Just another lame excuse to see me. Man. It's getting me down. You know, I'm actually glad... to see you!  Maybe I'm the one who's...  nuts.| Hold on!  Do you... like me?!
  ...Of course I do, you old jerk!| Really? ...Wow.  How about...  one of these?  Ah!  Mwah, mwah, mwah...
   AAAAAGH!!! Not like that!! You don't remember anything, do you... SIMON?| What-mon?
  Why do you even come see me when you don't remember me?! You don't even know who you are!| Yes, I do! I am a lyricist!  It's all here! On the page! The page in song, baby! On this receipt! On this takeout menu! On these newspapers! 
  Huh? Look! This clipping! This was you, Simon! Before the War!| Huh?  Heh?
  This! You took this picture! Grr, you've scribbled all over it... Huh? | Ooh, ooh, are they good lyrics?  I'll get the keyboard!
  What?  Wait, listen!|  Yeah, let's go! What's it say? Sing out, sister!
"   ""Marceline, is it just you and me in the wreckage of the world? That must be so confusing for a little girl. And I know you're going to need me here with you... but I'm losing myself, and I'm afraid you're going to lose me, too..."""| Ooh, yeah! Keep it going! 
"   Oh! Um...  ""This magic keeps me alive, but it's making me  crazy, and I need to save you, but who's going to save me? Please forgive me for whatever I do  ...when I don't remember you."""|  Wow! I wrote that?! Hot stuff!
  What?! You don't remember what it means?!  Look!|"  ""Marceline, I can feel myself slipping away. I can't remember what it made me say... but I remember that I saw you frown. I swear, it wasn't me. It was the crown.  This magic keeps me—"""
  Wenk!| Gunter! Huh?  Woo wowsers!
   Wonderful! |  Family meeting! Family meeting gather ‘round.  Things are gonna change around here very soon! You’re gonna have a new mommy to help BOSS ya around! Well, I mean- I haven’t exactly asked her yet. Welp! No time like the present!  Ya deh deh duh duh duh deh. Sweetie, are you awake?  Great! Because I have a query I’ve been meaning to inquire of you.  Well, uh.  When two people, eh- will- Will you marry me!  Oh yah!  Yes! Yes drink up the tears! Drink up those good luck tears!  No, not you Gunter! You’re on a low-salt diet! Huh?  Uh-a-what’s that dear? Oh! I almost forgot!  Do do-do do-Do!  It’s a wife ring!  This one’s for me. I’m the husband. That means I get the remote control THREE days a week and you get it four!   Ahhh, Sweetie, this is bliss. It feels so math to finally be normal. Not like those two freaks.  What are they doin’ over there? Anyway! I-oh, who’s that?  Oh. Oh my. 
  Stranger, hark! The traps galore may kill you whilst you do explore. To free yourself - |  Huh? Oh. Now where were we? To free yourself from this tomb, and nevermore re-enter, find the room amidst the rooms that lies exactly center?
  Oh! The room is trying to hug us!  Oh no!| Oh, dag.
  Enough of this! | Huh? This room doesn't have any doors. 
   This is wrong. The map lied to me-e. It doesn't want me to find the EXIT! Ice King, h-how do you taste?| Uh, nice, I guess? 
  Mild or SPICY?!| Oh, uh -  Kinda lonely.
  Make yourself into food! Now!| You're going to eat me? Yeah, right.
  Never mind.| Come on, you guys. That mouse showed us the room door.
 Other|  Say, you know what's weird?
  What, Papi?| Well, isn't it weird how Tree Trunks' ability to make pies is specifically what helped us escape from that room?
  I make pies, too, Papi.| Right, yeah, like, battery pies or summin'? 
  No. Real pies. Don't you remember? I am your s- | Hey! Look, another room!
 Other| Good grief, it's humid in here.
  That door will lead us closer to the exit!| Hold up, hold up!  Look! 
 Other| There has to be a way to get across without that thing chompin' our WOO-HOOS!
  Can't you fly us across, Papi?| Oh yeah, I can sure try.
 Other| Nggh! Aw dang, this heat is negating my powers! Can't do nothin' with this steam coming off the water. 
 Other| NGH, glob! Fah!  Nagh! Look at this!  Well, that's it. Show's over. I'll just die here and y'all can eat my body if you want to survive.
  Oh, that's warm on my undercarriage.| H-help me guys!
  Yes, Papi! | NNGH! Lemongrab, c'mon!
  Ugh!| Ew.
  Nugh.. That'll do, Slave Trunks. To the spiraling ledge! | We almost there, Lemongrab?
  The door is secured with an esoteric encryption system.| Well that's okay, 'cause you can hack the mainframe or whatever, right BMO?
  I'm not BMO, I'm your son Neptr. I-I throw pies.|Ohhhs! I grabbed the wrong robot!  Dang! Nuts face!
  Yes, I'm getting a weird feeling in my stomach, and I think it's 'cause of you, Mr. Wizard you'd better fess up to whatever you're doing.  I got no time for nobody dancing around and acting fool at my expense.  I'm Tree Trunks and people know I'm kind and honest, that's why people like me. | Huh? Wha-wha-what's she sayin'?
  So stop sellin' fib-bibs and give it straight! |  Grrrr! All right! I knocked you all out and brought you here!
 Other|  I'm sorry, but I had to do it. Each of you possess the exact qualities to pass the various tests of this dungeon
  Essence.| Yeah...  Shelby, who should've been the bait for the fish.
  Yeah..but no, thanks. | And..BMO, who should've been here instead of this weird piece of junk that I don't remember nothin' about.  Ahhh, I failed!
  Are you happy with me now, Papi?|  Yes! Yes! Oh, my son!  The grand prize of my loins!
 Other| Now you see why I needed to bring you all here. Behold! The Ancient Sleeping Magi of Life Giving!
  What's it do?| Whatever goes in the Magi's flames..comes to life, anything at all!
  Uh, like an ashtray?|  Yes! Isn't it amazing?!
   Uh..You should've told us! I would've freaking brought something!| Do not be sad. Because I brought the ultimate thing!  This.
  Your journal?| Except..it's not my journal!  It's my Fionna &amp; Cake fan-fiction!  All my brilliant fantasies will now be real.  Fionna, Cake, Marshall Lee; they'll all be living, breathing beings, just like me.
   You serve no function, you must be destroyed!  | Yes! Yes! 
  Woo, hahaha, yeah! |  No..NO! Another cruel joke on my life! 
 Other| Oh, good..you're awake, you bum. Look what you did.. Get out of my Face! Yeah, yeah Get out! 
  Don't be sad, Papi. Your characters can always be real in the garden of your mind.|  They can? 
  Remember when you showed me your imagination zone?| Yes! Yes, if I can concentrate... 
 Other|  It worked!
   I missed you, Ice King!| Oh, Fionna, can dreams be real as waking life?
  Of course they can! Dreams are real!| Then I will wait for you, from across the threshold of consciousness.
  Our worlds will surely meet, Ice King.|  I, too, feel this; and it feels so strong it must be true.
  That's not a book! It's a bomb!| You've been acting like a real knucklehead, Doctor Prince. Go on, get out of here! And don't ever do wrong things again!
  You saved the day mega-rad cool guy! What's your name?| Oh, Ice King. I'm such a great guy! This book is yours...
  The Enchiridion! I want to be your best and closest friend.| Let's have a best and closest friend lunch! It's mac'n'cheezles!
  Aww, what a sweetie!|  I'm just so glad you guys are real... you're really, really real! I wanna remember this day forever!
  Hop on, baby!| Weehee hee!
  Ice King, stop, please. This story is terrible!| Hm? Wha—?
  Maybe this story is a new form of torture!| Oh, come on! It's a first draft... don't hate! And besides, that story had everything. Action, adventure, a hotter, older guy... Wildberry, don't pretend; I know you like the silver foxes. 
  What if it were a... little more like real life?| Real? It's based on the real Fionna and Cake!
  Romance is a great idea!| Y'all are just hatin' on my steeze! I'm not listening to haters. Haters!
 Other|What the... Whoa... I'm sorry I didn't think you were real, Gob... but now I've seen your power, and I've got some things that I did that I have to say sorry for.
  Boo.|  Marceline, how long have you been in here?
  Mmm... couple hours. | Oh, so you heard my story, then... Awesome, right?
  Oh hohoho! I loved that one!| Oh, come on! You guys got mad at me for a bad story? I mean it's cute, but... that's not how'd they be! But look, it might not be too late to polish this piece off—let's spitball off some ideas. Like, if Marshall Lee gets sick and dies, but he's got a brother we didn't know about! His name's Marshall Lee...roy. Boom, shocker!  Uh-huh! I feel goosebumps!
  Yeah! It's good!|  Everyone get out...  I know you're out there somewhere... I just haven't figured out how to get to you... but believe me, I will! I will...
  Whaa? Aaaah!| Hey, Princess!
  What now, Ice King?| Remember that time last summer when you said you'd only go out on a date with me if I was the last guy on Ooo?
  47 grapes!|  Anyone having any...  computer problems? 
  How do we stop the computer worm, you pile of goo?!| E-ha-ha-ha-ha! My worm exists beyond your comprehension within the universal source code...
  STOP TALKING LIKE A NERD AND GIVE IT TO US STRAIGHT!!!|" Once the glitch does its work, the whole world will be deleted! Except for me and my ""Bubblygums.""  Ow!! Well, see y'all! I'm gonna prepare for my... date. Ahaha! "
  Jake, what is it?| Oh, Princess Bubblegum? Guess who? Can you guess? Can you? I'll give you 3 chances.
  No.| OK, four chances. 
   Ice King, give me the anti-virus, or I'll shoot you with my candy horse tranquilizer!| But sugar, look what I brought you! A box of chocos!  Hm... Still good.  Argh. Look, I can't prove it, but...  ...you made a promise we'd have at least one date if...  ...if I was the last person on Ooo...  You promised... 
  Okay, well, even if I did promised, you're not the last person on Ooo, because I'm still here. | Well, uh... Ooh, I-I have a hand too, y'know? I can lend you one...  Check out my cool hand! 
  Oh, that's disgusting.| Grrrr!!!
   ...No. | Oh, come on, woman, I'm trying to be nice! Can't you at least make the best out of this?  Are you praying to me? I'm into this.  ...I'm still into this.  Still into it.
   GIVE ME THE ANTI-VIRUS!| I can't, monkey peeps, I didn't make one! The glitch will delete everything until we're all that's last!
  You mean, forever?!| Well, yeah! I mean, you say that like it's a bad thing.
  You should wash your mouth! | Huh? No way! Impossible!  Uh...
  Yeah. Where is he? I wanna kick his boingloings, too!| Uh... guys? Hello? Princess. Uh... Let's forget all about this...  Ugh get off of me, you creep! Ow ow ow ow ow ow ow ow ow ow ow ow ow ow ow ow ow ow!
  Well, great, I'll just put this on ice. |    Someone outside is messing with my ice!  Let's see what's going on down there Gunts.  My on-again-off-again GF Princess Bubblegum —  — my BFs Finn and Jake, all the fine princesses that want to date me! What the heck?! My bro-dogs for life are throwing a party without me?!  Just when you think you got some great bros they kick you to the curb!  Oh, I see how it is, they're gonna do me like that? So I'mma do them like this! 
 Other| Caw! Caw!  That's how the owls do it.  Well, hello, little one. You're going to help me ruin a party! 
  Meow. | Eeh? 
  Meow?| Oh, quiet you.  That's it for the kitties!   How are my bunnies doing?
 Other| Hee hee, that's it, ah yes. Gunter! More lazagnah!
  Whenk. | Okay!  Go, my little sour pussies, ruin their party! Hee hee hee.
  Yes!|"  At least I still have my ""party-poopers,"" heh heh, raagh! Oh glob  Urrreeh!  So much lazagnah. "
 Other| Gunter, daddy needs you to dress up like a princess so you can sneak into that party and throw fruit punch on everybody.
  Wenk.| Huh, you wanna do that for daddy, huh?
  Wenk! | Thanks, sweetie! I can always count on my Gunts!   Finishing touch.  Yeah, Gunter, hot! You better be careful Gunter or I'll keep you like this all the time! Heh, I just might have to chase you around... Marry you—
  | Oh, whoa! Just kidding!
  |  Arms out Gunter. 
  Wenk. |  Yes, atta Gunter, get a cup of punch!
  Gunter, come party with us.| No, Gunter! Do not party with them!
  Wenk.  | No, Gunter! 
  Oh... ow.| They think their party is the bee's knees huh. That party is the knees of nothing!
 Other| Bargh! There oughta be a law! Wait a minute... there is a law, hee hee, do I have what it takes?
  Banana Guard.| I'm calling to tattle.
  Oh, okay, who are you tattling on?| The loud party going on next door, it's bothering everyone in the Ice Kingdom.
  Ice Kingdom? Is this the Ice King?| Yes.
  Banana Guard.|  Yes, this is a little old lady calling about the loud party.
  Is this the Ice King?|  Noooo, this is Mrs. Garam-bling-ton...
  Mrs. Garamblington?| Yeah, hold on let me get my husband.   Yeah, this is Ted Garamblington, I need you to shut down this party.
  Your wife sounds pretty old.| Uh, hold on there's someone at the door.  Yes, hello?   Hey, Mr. Garamblington, it's me, the pizza delivery boy.  Oh, hi, Johnny.  Boy, that sure is a loud party out there, hope it's not bothering the Mrs.  It's okay Johnny, I'm on the phone with the Banana Guard and they're going to take care of it.
 Other|  Oh, that's good.  Well, what do I owe ya, Johnny?  It's twelve fifty-seven, Mr. G.  Okay, there you go, the prices are going up.  Oh, geez, do you have anything smaller?  Ah, let me check with my brother, George. Hey, George!  What?!  The pizza is here, you got any cash on ya?  I only got a fifty dollar bill!
  Uh, Mr. Garamblington?|  Yes?
  We'll take care of it.| Ha haa!  Now to watch Banana law in action.
  This is a great party.| Two can play the party game!  Ooh, nice. Alright come on Gunthalina, I need you to pass out some whirling dervishes, the guests are getting restless.
 Other|  Loose grape medley, stack of enriched flour tortillas — and start with Roger, he looks famished.
  Wenk! | Everyone, smile and eat... and make our neighbors jealous. 
 Other| Bah! Gunter's too captivating!  Um? Oh yeah!  Oh this is my jam! Time to get my freak nasty on!  Roger, dance with me!   Come on! If only there was some way I could magically ruin their party.  Wait a minute  forgetful me!
 Other| I thought you were my bros, my roll dogs for life! 
  Ice King, don't make me stand up and whomp you!| Well, if that's what it takes for a fella to get noticed around here, then whomp me! 
  That's.... IT! | Oh mama, that's some stink!  Aaaah!
  Why are you doing this, IK?!| Because she didn't invite me to her potluck!
