input|output
"   ""Why?""  Poots, that guy is good. Why? Why?"| Jake—
 Other| Well, uh... don't you wanna grow old with somebody? Right?  Just like these old swans.
 Other| Uhh... Yeah—I-I never—uhh... I guess it is.  Jake, this is bad news, man! We gotta go tell him that he can't eat his wife!
 Other|  Phew!
  All that's left is the lousy wedding. | I'm weddy for the wedding!
  I'm weddy for the wedding!| Y'know, even though the Ice King is a wad, I'm pretty happy for him.
  Uh-huh. This wedding looks lame, man.  Be prepared to be bored outta your mind.| 
 Other| Weird—and your bride is into that?
 Other| Well...  cool, man. I'm glad y'all are happy... being crazy together.
 Other| Huh? Her eyes are huge! I'm gonna go check 'em out.  And stop scratching your ear, man—it's gross.
  It wasn't me—it was my foot, dude.|  Whoa, you've got ridiculously large eyes, princess! Are you allergic to somethin'?
   No, Finn. I was just born like this.| Why are you crying?
  Help me!| What?!
  | He tricked me! And I was happy for that son of a toot!
  She fell in love with me the moment I slipped on her engagement ring.| That's what cursed her! Don't worry, princess. I'll remove this ring and save your life. 
 Other| No, man. You cursed her. She hates you!
 Other| Hyah!  What is wrong with you, man?! 
  Hehe, no problem.|  Ehh.
 Other| Huh? 
  Whoa! | Jake!
   Huh, what?| JAKE!  Grrrr.  Oh, hey.
  Hey.| You got the ring off her finger?
  Huh? Oh. Oh yeah. Now she's not hypnotized, but we're still frozen.| I got a plan.
 Other| Now!
  Yes, it's official.| It's official! You done married a dog, dude!
  Wait, what the—? What am I laughin' about?|  And now everything's back to normal.
   Alright, guys. Hammer all these safety signs around this dungeon hole. I've gotta jet off on my swan to take care of some royal junk.| You got it, Princess.
  Ow. Ow. Ow.| There. That's the last sign, Jake. Now no one will go down this hole, ever. Probably a lot of dangerous, awesome stuff down this hole. I better go take a look.
  Don't, dude. For you see, that's the secret entrance to the Dungeon of the Crystal Eye!| Whoa.
  Legend has it that the eye rests in the deepest chamber of this accursed dungeon. Man, we shouldn't even be talkin' about it, 'cause it's lunch time. | The crystal eye. I wanna meet this dungeon.
  Maybe after lunch.| Eh, I'll skip lunch. Just catch up with me when you are finished.
  *Pfft* Yeah, right.| What?
  Without the aid of my magnificent powers...  ...Huh? Huh? You'd get killed down there.| Hey! I can do things without you! You wanna bet I can't?
  Nope. Come get your sandwich.  Listen to Jake, Finn. He only wants what's best for--  Ahh! Help me! Ahh! Come put her out of her misery, dude!| We are betting! I bet that I'll get that crystal eye and be back within 11 minutes.  Ready set go! 
  Oh, my... | Dungeons! Chambers! Woah.  Evil creatures!  Treasure chests! 
  Dungeons! Chambers! Woah.  Evil creatures!  Treasure chests! | Doorways!  Traps!  I'm in my elemeeeeeeeeent!! 
  Doorways!  Traps!  I'm in my elemeeeeeeeeent!! | Aww!
  Aww!|  Oh?
   Oh?| Whoa! Somebody come pick up your freaky cat.
  Greetings, Frank the Human Boy.| How did you almost know my name?!
  I have approximate knowledge of many things. For instance, I know that I am possibly going to slay you and munch on your eyeballs. | Huh, yeah right. That sounds like idiot talk!
  You're trespassing on my dungeon, manling. And I am the thing...  ...you should be afraid of.| You can't hurt me! I'm a radical boy on a mission for the crystal eye!
  I'm going to unzip your skin and wear you like a little coat.| Unzip this! 
  Unzip this! | Bleep!  OOF!
  Wait a minute.  Is that dog smell?! You... you have a dog with you? I'm outta here! | Yeah, right! Good excuse! Slaps, that cat was kicking my buns! And it might have finished my buns if it weren't for Jake's stank. Dang it, Jake! I'll get that crystal eye on my own! With my own odors.  Hmm, no to skeletal remains door.  No to giant monster mouth door.  Oh! Giant key door it is!
  Yeah, right! Good excuse! Slaps, that cat was kicking my buns! And it might have finished my buns if it weren't for Jake's stank. Dang it, Jake! I'll get that crystal eye on my own! With my own odors.  Hmm, no to skeletal remains door.  No to giant monster mouth door.  Oh! Giant key door it is!| If Jake was here, he could stretch his hand into a key and open it.  Yeah! Key hand!  Ouch!  Hey! What the jug is that?
  If Jake was here, he could stretch his hand into a key and open it.  Yeah! Key hand!  Ouch!  Hey! What the jug is that?| Oh, sweet, the key!
  Halt! Come no further adventurer, for you see none can defeat... the Bucket Knight! | Okay, then I won't fight you.
  No! You must challenge me to-- | Hey cutie, do you know how to get to the crystal eye from here?
  Yes, it's through that door over there, but-- | Thanks!
  Hey! You can't pass through that door with out battling me!| Yes, I can. Because I'm huge compared to you.
   Just add water and...  ...exponential growth!| Aw, buckets.
  Now, activate thine own powers, and we shall engage in thrilling single combat!|  Heh, thing is... I don't really... have any powers.
   I see...| AAAAH!! Dang it, Jake wouldn't be running! He'd grow all big, and sock you right in the nose hole!  Aw, nutzoids!  Come on! All aboard the knuckle train to fist planet! 
  AAAAH!! Dang it, Jake wouldn't be running! He'd grow all big, and sock you right in the nose hole!  Aw, nutzoids!  Come on! All aboard the knuckle train to fist planet! | Oww... I rode the knuckle train? But... I... I'm in my element.
  Oww... I rode the knuckle train? But... I... I'm in my element.| AHHHHH!!!! Ow! OW! Ow! OW! Ow! Uhh! That... sucked.  Alright, Finn, you're in a heavy pickle here. You don't have Jake, and you're on your own. But you can still handle this. You can still get that crystal eye! 
"  Hey, my dinner is back. And your dog isn't with you! That's what you said, right? Jack the Dog is not ""accompanying"" you?"| You mean Jake?
  Jake, Jack, whatever. He's not here, which means I'm going to rip your heart out. | Crud, crud, crud, crud, crud!
  One... two... three!  Aw, man! I thought you'd be behind this rock. Hmm...  Alright. I know where you are now! And I'm about to pounce again!  One... two... three!  Aw, man! Well, there's only a few more places to look.| Oh, Jake... I'm such a fool. A silly, silly fool.  Who the heck--?!
  Hey, it's okay. Shh, I'm your guardian angel, Finn. I'm here to save you.| Re...really?
  Mmm-hm. Come here, let the angel pick you up.| Okay.  This is radical.
  Are you comfortable? Would you like some snacks?| I'm fine, thank you.
  Here, let me clean you up, and mend your clothes. | Ha ha ha ha ha!
  I'm taking you to the chamber of the Crystal Eye....|Aww, yeah!
  ... where I'm going to cook you and eat your flesh.| Wow... Wait! What??!
  Trust in your  guardian angel!| Put me down, lady!
  As you wish.| Man, everybody wants to eat me up. It's probably 'cause I'm so sweet.
  Now for little kid soup.  The secret is a low flame over a long period.| That's Jake's secret, too. I sure hope he saves me.
   I will save thee, Finn.| Lady, you are sick! Oh, Jake.
  What?| Jake!
  Finn!| What are you doing here?!
"   But you would have blown right through. I kept thinking to myself, ""What would Finn do?"" Just...eh, frustrating. Know what I mean?"| Yeah... I think I do. 
  Yeah... I think I do. | Now let's find a way out of this cage.
  I'll get us out with Key Hand! | I really don't see any key holes on this cage.
  Not a problem, man. Lock Hand!|  I'll get us out of here, with carrot hand!
  Alright, man. Let's go! We've still got a couple minutes left to steal that crystal eye and win your bet!| Wait! You'd help me win a bet that I made that I said I could accomplish something without you?
  Just hop on my powdered doughnut, boy!| Cling!
  Alright, man. Let's give this crystal eye the old friendship lift.| Okay.
  Friendship, go!| If I die, I'll have died with my best friend!
   Looks like that's not the answer she wanted.| Uhh... I learned that you're a very... intelligent princess?
   Here's one called Caturday Surprise.| Throw it!
  Yeah, go on, get out of here!  Unless you feel like a fist cookie, you better keep runnin'!| What the heck is goin' on?
  I have no idea. But it's probably best to stay out of it.| Yeah. Hey, look.  This one looks stupid. Let's see how it flies!  Aw, lame. 
  Oh... | Oh no! She thinks that nuts guy did it. We gotta go clear up what happened!
  Don't worry, my dear. I'll have you fixed up in no time!| Princess!  Are you OK?
   Five days?! The Grand Meeting of Ooo Royalty is tonight! | Uh... hey, Princess. There's something I should tell you about that bottle that hit you in the face.
  I already know, Finn! The Duke of Nuts has always been a bad guy. But now that he's done this, I'll never forgive him! And it's not just because I hate the Duke! I'd never forgive anybody who did this to me! I'd hate them!| Yeah but-
  FOREVER!|Forever?!
  Two witnesses!| Jake!
  Heheh. She's completely bonkers.| What do I do? If I tell her I threw it, she'll hate me forever!
  Don't worry!  That won't happen. We're gonna catch that Duke!| But we're the ones who threw the bottle!
  Dude, look. The Duke of Nuts is bad guys.| How do you know that?
  Think about it. If Bubblegum hates him so much, then he must have done some rotten stuff. I mean, maybe he even threw a bottle and turned someone ugly before.| Maybe you're right.
  Maybe I am!| Alright, just this once, we'll be vigilantes!
  Nah, we're more like cops. Crooked cops! | Princess! I won't rest until the villainous duke is captured!
   Oh, thank you, Finn! | Woah. Okay, and by then, hopefully you'll have taken care of...this. 
  Woah. Okay, and by then, hopefully you'll have taken care of...this. | Look yonder! The Duke of Nuts castle!
  Look yonder! The Duke of Nuts castle!| Duke of Nuts!
  How are you?| By order of Princess...
  By order of Princess...|  Um, Princess...  
  Hello, Finn. Are you here to arrest the Duke?| How did you know?
  I know of my husband's crime against the princess. A crime that you personally witnessed! And why would you lie? Huh?| Yeah, why?
 Oh but he was once such a wonderful man! He'd pet dogs, kissed babies; we'd lie together underneath the cashew bush. He even taught under-privileged nuts how to dance. But somehow he's gone rancid! These nuts tell me he must be executed. Would you like to hear what my nuts have to say?!| That won't be...um...necessary.
  Woah!| I don't get it, Jake. How can the dude be evil if he pets puppies, kisses babies, and lies with his wife?
  Why, Jake? Why won't you print my letters? I...I...I HATE YOU!| Hmm.   It's him! The Duke of Nuts!
  Hmm.   It's him! The Duke of Nuts!|  I'll break left! You take the right! 
  I went left too!| Wha-?  You're way smaller than I thought you were!
  Who's the toughest little nut? That's you.   One second.| Man, I don't know, Jake. Why would Princess Bubblegum hate him if he's such a nice guy?
  Just because he's a good father, doesn't necessarily mean he isn't a villain.| That doesn't look like a villain.
  I can probably think of a reason why that's villainous if you gave me enough time. Maybe.| Ugh! Maybe we should just confess. But then, Princess Bubblegum will hate us forever.
  Oh! Sorry to make you wait. I made these daisy crowns for you guys as a- as a token of gratitude for waiting.  Oh...sorry I....I have to sit down for a second. I know this is an odd question, but you wouldn't happen to have any pudding on you, would you?| Actually yeah, I think I have one in my pack.
  Oh, thank goodness.| I think I have a spoon in here too- wha-?
  Oh, I'm so embarrassed! Now you know my shame. I can't stop eating pudding.| What?!
  I don't tell people because I hate making them worry, but yes, I have a rare condition. A pudding deficiency. And I always end up eating all of the royal pudding supply whenever I go to the castle.| So that's why Princess Bubblegum hates you!
  Yes, but I didn't turn Princess Bubblegum green and bald! I would never do such a thing!| Gah! Of course you wouldn't! You're too nice a guy. I'm the one who threw that bottle. I was gonna tell her, but then-- she started talking all crazy-- she said she'd never forgive me and I-- I didn't know!
  Hey, it's okay. People make mistakes. It's all part of growing up and you never truly stop growing.| Now you're making me feel even worse by being so nice about it.
  Maybe I should just confess the crime and end all of this.| Wait...I think I might have an idea that will save everyone's reputations.
  Wait...I think I might have an idea that will save everyone's reputations.| Halt!
  Finn! Did you find the duke yet?| Not yet, but you are in grave danger, Princess. There is an assassin in these very woods, dead set on stopping you from reaching the Grand Meeting. In fact, what's that rustling in the bush??
   Rustle. Rustle, rustle.  I'm an ambush! Halt!| What's going on?!
  Oh,  Did I come out to early?|  What are you here to do, stranger?
  Um, guys?| Stand back! I will stop him! Hi-yah!
  I will kill you! And raise your children as my own!| Hi-yaah!
  Hah!| Remember, it's just acting, Jake!
   Yeah, alright!|  Yeah!
  Peppermint Butler! | Oh, no!
  Nuttin's going my way today.| No!
  Finn?| The duke didn't throw that bottle! Ahh- Princess, I have something sucky to confess. I'm the one who threw the bottle.  I'm sorry, but I knew if I told you, you'd hate me forever!
  Hmm...well, I could never stay mad at you forever. And you seem genuinely penitent.| I don't even know what that means, but thank you!
   But that doesn't douse my hatred for the duke!| Yeah, what's up with that hate?
  That jerk always empties out my pudding pantry!| Aw, shucks. He just can't control himself around pudding. He goes cocoa-nuts for it! Because he has a pudding deficiency!
  Oh, my, you poor man! Of course you're forgiven!  Yeah, I don't believe a word from him.|  I'm really sorry about making you temporarily ugly, Princess. Especially before the Grand Meeting of Ooo Royalty. I wish there was some way to make it up to you.
  Maybe there is, Finn. Maybe there is... hey! |  Hmm, what? You said maybe.
   Call to order the sesquicentennial Grand Meeting of Ooo Royalty. I now call upon the delegate from the Candy Kingdom. Princess Bubblegums?| Ahem! It would be presumptuous indeed to present myself against the distinguished princess to whom you have listened.
  Whoa!| Geez Louise, guy
  So you got any, kid? Food? | I got this little piece of sugar.  Nuts, I'm freaking all about sugar. But I am even more about feeding hobos! 
  Whoa, man. Maybe helping this starving homeless guy is wrong thing to do.| Why?
"  I don't know. I said ""Maybe"" "| A hero always helps someone in need and besides he's probably a secret elf who will reward us for being nice. Here you go, buddy. 
   Whoa!| Aw, yeah!
   Think happy thoughts… Little, cute, bees, little babies, tiny, tiny bunnies.| what is wrong with you, Magic Man?!
  ...For you!| why did you do that!?
  Because on this day, a magical life lesson comes to you.| No! Change me back.
  What a nutty guy| What the heck, man?? What kind of deal is that? I help somebody out and they make me a stinky foot.
   You smell pretty good.|  Get off of me, man! I can't be a hero if I'm a big good-smelling foot!
  Maybe you're looking at this magic gift all wrong. Now that you're a huge foot you can kick evil's butt, like, way more times as hard. You're 100% kick, man!| Why are you being so level-headed about this?
  Don't be a siss, Finn. Here, c'mon kick my butt. | You're the SISS, siss! Augh! 
   Ouch! oooh! Ouch. See, man. Let's give your foot body a shot.|  No, dude! I wanna go find that magic man and get my body back!
  Okay, when the next monster comes along, he'll step on that trigger over there, sending your giant foot body into the monster's crotch!| This sucks, dude.
   Hahaha! What'd I tell you? You're a great hero! Let's go set up some more crotch catapults so we can laugh and be heroes.| No, Jake. Let's find that Magic Man.
  Town on fire! This looks like a job for foot Finn stomping ability!| But I-I can't even bend these big fat toes, man.
  You can do it, Finn. What'd I teach you, dude?|  Not to scorn the kicking of people in the crotch?
  You got it! Now I'm gonna go rescue all the babies in town  --only the babies.  Get your hero on, dude!| Aaahh!
  Aaahh!| Uhh. Okay, you can do this, Finn.  Start small, man. I'm taking you down! 
  Uhh. Okay, you can do this, Finn.  Start small, man. I'm taking you down! |  It's hot! Oh, man, I'm smoking hot! Please, help me out! I can't move!
  He probably started this fire!| No, I didn't start any –
  Get rid of the freak.  Freak! Freak!| Unh!  I'm not a freak, I'm a hero.
  Finn!| Jake, how'd you find me?
  Oh, I can sense when you're about to cry. It's like a mother/daughter thing.|  I'm not going to cry, man! I just feel like crying. We have to find that magic guy and  get my body back now!
  What we have to do is find out what reeks under this bridge | Jake!
  Ew, it's blocking out your good foot smell.| Get back here!
  I am Gork, leader of Freak City. Ah, I can see one of you has felt the Magic Man's touch. | Yeah! You know that guy?
  Yo, Finn, this place is really bumming me out. Let's get out of here.| What?! No, dude. These guys might be my only hope of finding the Magic Man.
  Hey, we actually do have orange juice.| Thanks for being cool and all, but what do you know about this Magic Man? How do we catch him?
  Oh, he can't be caught. He's got magic and we're worthless freaks. We can't ever beat him. So we've gather here to wallow in our self-pity.| But don't y'all even want to try?
  Eh, no.| Why not? You're all totally miserable here.
  Ugh. It's a living.| No, it's not, Zap! It's not a living! It's dookie diapers! I don't want to be a foot!
   Awesome.  Here we go.| Jake, stop screwing around.  You're gonna make me give into depression.
   Eh, what are you going to do about it? Probably nothing, right? If you're depressed, you'll do nothing. | I…  Maybe I will do nothing.] Maybe I'll just lay down here.  Lay down –uh —and rot like the rest of you.
   Yeah!  Stay a foot! Stay a foot! Stay a foot!|  ♫ Is this really my life?
  Huh? Why?| ♪ I'm not gonna let you lie here,
  Whoa. Okay man, just be cool.| ♫ And I'm not gonna be cool!
  Hey, Finn.| ♫ Ja-a-a-ke, stop tellin' me to enjoy, bein' a foot, and get out of that trash! ♫
  Heh heh. I can't take you seriously when you're singing, man.| Get up!
  Ahh!| ♫All of you make me sick!
  Hey, stop it, man!  We don't like touching each other.| Huh?
  Please, man.| Wait a second. Kim, get underneath Trudy.
  No, man. Please. I freakin' hate Trudy.|  Kim, I will destroy you!
  Yeah, do it, Kim.| Yes! Now for me  Look at us!
  Oh, Finn, thank you.| Word! Now let's go wreck up that Magic Man!
  Are you sure about that?| You're darn right we are!
  You're darn right we are!| Give us our bodies back!
  Why should I? You still act like a hero only so you can get what you want.| Oh. You were trying to teach us to be kind without expecting anything return. I should've given you that sugar cube without even thinking about a reward.
  Wrong! | Ah, geez!
   Finn!|  You've gifted us nothing but heartache, Magic Man! What is the life lesson in that?!
   Yes, my children, you are so close to the answer.| Answer this!
  Get his eyes! Cut him in the eyes!| I wish I'd never been nice to you 'cause you're just a big jerk!
  Oh, yes, that's it!  You've finally learned your lesson.  And now I'm off spread my teachings to more sissy do-gooders.  You're welcome!| Man, I frickin' hate that guy. But at least now we can all go back to our regular lives.
  Bye, Finn! Thank you!| Oh, okay. Bye, guys. See you, later.  Wait, so, what was the lesson we just learned?
   Maybe it was, don't give your sugar to jerks.| Speaking of jerks, what the blubbins, man?! Why wouldn't you help me turn back into a boy?!
  Well, because I kind of always wanted | What?
   I said, I kind of always wanted to be a foot myself.| You could be a foot right now. I saw you change into a foot twice yesterday.
  Safety!  Patrol! Safety patrol! Safety— Oh... Were we not wearing the uniforms?| C'mon. Let's keep lookin' for hazards. Look out!
  What is it, dude?| Shushers, man!  Look there!
  Just looks like an ordinary little town, man.| Yeah...  Suspiciously ordinary. Oh! Little house people! Maybe it is just regular ordinary, not sinister ordinary—oh, no, wait... Grass ogre.
  Haha!  Hey, chicken, you're travelin' egg-spress! | It's an obnoxious grass ogre.
  You're under arrest!  Good... Now get in your tiny cell... Oh, uh, oh!| Hey, ogre! Stop hazing these cute little houses!
  My name is Donny, idiot!| Sorry. I was just tryina' get your attention.
  Hahaha! I'm gonna mess with these housies some more.| NEVER!!
   Whoa.| You're doin' it wrong!
  Whaddaya mean?| First, you roll your right shoulder forward...
  Like this?| Yeah, but then I counter it by doin' this! 
  Hey!| Um... You need to take a break?
  Whoa, I zoned out there for a bit. Did you win?| Nah. Just takin' five. Donny's pretty good.
  Yeah, well, you're okay, too.| Thanks, man.
  ...For a complete idiot!| Aww...
  Donny is one mixed-up dude.| Nah. He's just rough-and-tumble, like me, but deep down, he's probably really sensitive, like me.
  You're a mixed-up dude, too!| Hey, Donny!
  What?| I was thinkin' that since you're a pretty good wrestler, maybe you'd wanna hang out with a couple a' rascals like me and Jake!
   You sure this is a good idea?|  If you come to the Tree Fort, we got video games and apple juice!
   Really?!  I mean... if it keeps you from cryin'...|  Donny's problem is that he's treated like an outsider, like me.
  You are not an outsider. You wear cute little blue shorts!| I... am complicated.
  Uh... This fort isn't so great. Not as cool as the fort I'm gonna build.  I call this chair!| Hey, Donny, you should play Bug Battle.
  I have pants...  spun from spiderwebs... by pixies.|  Okay. There's you, and here come the bugs.
  Huh?!| Oh, yeah. Those guys'll get ya.
  Not cool, dude.| Have more apple juice. It always makes me feel better when I—  Aaah! Donny! Quit being a jerk!
  Everybody's gettin' mad at me for nothin'!| You have to think about how your actions make other people feel.
  Ooh! Teach him that little empathy song I taught you!| Okay, yeah!  Empathy, empathy, put yourself in the place of me!  Your turn!
  Uh... Empathy, empathy, put yourself... Ohh! So it's like, when I squeeze eggs outta chickens, I should let them squeeze eggs outta me, too!| ...Um... kinda right.  Someone needs our help! Jake, you stay here and try to fix him, while I deal with an unknown possibly deadly emergency! 
  Quick! Act abandoned!| Hands off the housing market!  BACKPACK!  Werewolves. Much worse than ogres. 
  Stop in the name of the law!| Is there somewhere I can trap that thing?
  I'm not old!| Perfect!  Slam-bam-in-a-can! Huh? Another werewolf?!? What's up with this town?!
  Perfect!  Slam-bam-in-a-can! Huh? Another werewolf?!? What's up with this town?!| Mr. Bank! Are you alright?!
  Oh, it's fine, it's fine. All my assets are insured. Pardon.  I have to go spackle my cracks.|  Why is this town just getting worse and worse?
   Yes! Why indeed!!|  Hey! What are you werewolves up to?!
  We're not werewolves...   We're Why-wolves.| Uh... Why-wolves?
  Creatures possessed by the spirit of inquiry.....  AND... BLOODLUST!!| What?!
   Please. Save your questions until the end of the lecture.  Our ecosystem. At the bottom level are the house people. Given the opportunity, we Why-wolves would easily wipe them out. However, Donny's presence is a natural deterrent. His jerkiness is so powerful that it produces a pungent gas—obnoxygen. To Why-wolves, it is a deadly poison. But since you've removed the jerk Donny, we will devour the houses, and our population will rapidly swell until we are, in turn, devoured by the Cosmic Owl. Such is the course of nature, but it'll be a pretty sweet ride up until that point.  TONIGHT, WE FEAST ON THE BLOOD OF THE INNOCENTS! | Oh, no! I have to get Donny back!
  Oh, no! I have to get Donny back!|  Donny, you have to go right now, and stop the Why-wolves from—
   Ah! Master Finn has returned!| What's it goin'?!
  Thanks to you, I shall never be jerky again!| Oh, no... Oh, no. Oh, no, nonononononono! No! This is all wrong! We need jerk Donny to make the obnoxygen, and, and—
  Steady on, Finn. Perhaps you are dehydrated! It's as Jake taught me| Are you wearing jeans now?!
  Surely!  Gotta get pants! Go get your pants! Button, fly! I wrote that one myself. Perdoname. | But, but, but—
  Butt, butt, butt! Yeah, Donny! You're lookin' good in those jeans!| What did you do?!
  Miraculous, isn't it? I just kept teachin' him my musical rules, and now, he's perfect.| No! We messed up, Jake! The House People are doomed if Donny doesn't go back to being town jerk!
   I have no intention of being a jerk again. Hmph.| But the housies will be wiped out if you don't!
  It sounds tragic, but I'm turning over a new leaf! | Donny, you gotta go!
"  Finn, ""no"" means, ""no."" I'm sure you'll respect my wishes.  No! Stop! No!"| Now, go be a jerk to those Why-wolves!
  No! I'll use my musical messages to stop them!  Let's see... I've got one on the ethics of laundry... Crosswalk-ery... Ooh! Here's a good one!| Man! The town is getting creamed! By not being a jerk, you're being a real jerk, Donny!!
   Comb your hair right! It's a good time! Sticky, sticky pomades, short back and sides!   Why isn't anybody paying attention to my words?|  He sure is sensitive about his songs!   It's cuz they think your songs are dumb!
   What're you saying?! If you don't encourage his talent, he might revert back to jerk Do—  OHHH, OHHH!  HEY, DONNY! EVERYONE SAYS YOUR SONGS ARE SUPER BALLS!!| They all think you're a real jerk!
  Get offa' me, nerds!!| You did it, Donny! You're a full-blown jerk again!
  What?! You're the jerk!! Housies! Ready to hear my new song?! It's about how Finn will betray you, just to save lives!|  I'm sorry, Donny.
   C'mon. We can go stare wistfully at the lake.|  I'd... I'd like that. Very much.
  Yeah!|  Whoo-hoo!!
  Hmm...| Awesome!  Someone needs our help!
  Oh, come on!|  Dude! It's Marceline the Vampire Queen!
"  ""Henchman for life"" means, ""henchman for life!!"""|  You still petrified of vampires?
  Okay. I don't want to cry, but I shall cry for you. |  Hey! Cut that out!
  Oh! If it isn't my favorite little goodie-two-shoes Finn!| Stop making this poor old dude cry!
  I can make him do whatever I want. Watch. Henchman, amuse me.| Stop it!
  Now hop around in a circle.| Oh, no. Don't worry, sir. I'll see to it you get set free.
  Oh, and how're ya gonna pull that off, hero?| I'll do what I need to. I'll even take his place!
  Do you mean it?| Uh... well...  Heck yeah!
  EEH! | I couldn't watch that old man suffer, Jake. My code of honor wouldn't allow it.
  AAAH!  I wanna help you outta this, man, but... she scares the filling out of my doughnut. Let's just leave.| I can't. As a hero, I'm bound by my  WOOOOORD!!
  You're lucky, Finn. Your first job as henchman is to help me feed.|  Feed?! What does she mean? L-Like, like, oats? Like, sentient beings, or oats?! It doesn't matter! I can handle it!
  Sounds like dinner. Finn, open the door.  OPEN IT ALREADY!| No way, Marceline! I'm not gonna open this door if innocent people will be hurt!
  Aren't you bound by your word to do as I say, hero?| I...  Yes... 
  Huh?| Sorry about this.
  Hold him down!  Are you enjoying this, Finn?| No!
  Please, human boy! Let me go!| I'm sorry, sir. I'm bound by my code of honor to do what she says.
  I understand, son. I was married myself once. | Wait, wait! I'm not married to—
   Ugh! Enough talking! Dinner is served!| No!  No! 
  How dare you, henchman?! I order you to let me feed!| NOOOOO!!!
  Mmm. That red bow tie was delicious!|  Huh? 
  What's wrong, Finn?| I... I thought you were—
  Oh, my! A white tie! Thank you so much! This is so beautiful! | B-but...
  What? You know I eat the color red sometimes. | Oh... Yeah... Okay...
  We've got plenty more evil to do! |  Man... What's wrong with this girl? I can't tell if she's messin' with me, or... or what.
  Hey, Finn. You thinkin' about how that guy's bow tie sorta looked like a bra?| Huh? No!
  I know this place seems a little dead, but don't worry. It'll soon be undead.  Corpses buries in mud that's black, from death I command you to come back!  Hahaha! Are you ready to lead an evil army of the undead?!| Uhh, NEVER!  Okay! I'll do it!
  Excited to hear the wild screams of an entire castle?|  Haha, aw, yeah, that sounds bombastic, honey! Hey, I'm gonna run up ahead and scout it out for you, sugar! 
  Yeeees? Duke and Duchess of Nuts' residence!| My boss is gonna sack your castle!
  Why would you want to sack my nut castle on my second son's first birthday?! SEIZE HIM!| No!  Listen! You hear that?! My master is marching here with her army of the undead!
  Oh! How wonderful!| Listen to me!!  EVERYBODY!! RUN FOR YOUR LIVES!!
  Hahaha!  I wrote this next song about a fisherman. | Don't do this, Marceline! I beg you!
  You're late, Marceline! My son has been dying to hear your undead music!| Wha?!
  Oh, I forgot! Marceline is playing tonight!| Okay... So, she makes things seem bad, a-and then... or-or her personality makes them seem bad, or...  I'm over-reacting.
  Hey!| Huh?
  Why are you thinking so hard?! Just party hard! Whoo!| Alright! Whoo-hoo! Hahahaha!
  Hey, castle-crasher!| Hey, Marceline!
  You like cute things, right?| Uh, yeah, sure. Why?
  Then you might love this. The cutest dimple plant ever!| Whoa-ho-ho! That's cool!
  Here, eat some of its fruit. See what happens.|  Hahaha! A dimple!
  Okay, henchman, now... I need you to do something.| What is it?
  I want you to take this dimple plant outside, and kill it!| What?!
   Use my ax bass.| I'm gonna murder you. I'm not entirely sure why. I'm sure this will end happy...  AAH! I don't get it! There's always a twist to the stuff Marceline makes me do, but where's the twist in bumping off this bush?!
   There is no twist. Kill it now!| But wh—
  You should've hacked it to pieces when it was still adorable...| I-I thought—  Sick!!
  Oh, boy...  Not bad... for a henchman.|  Hmm...
   Hmm...| Hey. Can't the sun, like, destroy you?
  Yeah, it hurts, but I kinda like it. Reminds me of when I'd scrape my knees up as a kid, and my mom would patch me up... you know what I'm sayin'?| Uh... Jake told me I came out of a cabbage.
  Hey, Finn, I need you to strangle some pixies.| Yeah, sure. That sounds good.
  Whoa, why are you being so casual about that? Strangling pixies is some hardcore evil.| I'm not fallin' for your junk anymore, lady! You just like sayin' poop that jacks with my brain!
   What are you talking about? I...  Dang, man, I didn't think you'd ever catch on!|  I knew it! Hey... what about your old henchman? Who was that guy?
  Oh, just an old diving buddy.   So, you ready to go strangle some pixies?| Yeah, man! I mean, wo-man.
   Oh, no! My buddy is totally under her vampire spell!  Die, unholy thing! | Jake?
   Ow! | Marceline!
  I'm stakin' that vampire and settin' you free, no matter how terrified I am!| She's alright, man!
  She's still controlling your mind with evil! Now, back off and let me vanquish her from existence!| I can't let you do that, Jake!
   I love you, brother. YAAAH! | Jake, listen! Marceline is not how she seems! She's a radical dame who likes to play games!
  What are you even talkin' about, dude?!| Oh, man! 
  MARCELINE!  Where is she?!|  I-I'm free! Jake! You faced your fear and saved me!
   Is it cool?| Yup!
  Finn, I owe you big-time! Changing into a bat and hiding in your pack was genius!| That's what henchmen are for.
  Oh, uh, that reminds me. You're fired from your henchman-ship. It's no fun when I can't trick you.| We're still on for pixie-strangling tomorrow, though, right?
   Heh heh.  Aw, yeah. | Jake, get ready for a slap in the jowls.  Seriously, though... get ready... for a day filled with adventure!
  Whoa, really?!| Yeah, man!!  I wrote on my arm this to-do list of cool junk.  Number one
   Hmmm...  Finn... it's a knife storm!!  It's raining knives, man! Come on! | I've never seen a knife storm before... It's beautiful.
  Looks like we're stayin' in today, kid.| Well, what're we gonna do?
  I've created a new game called Conversation Parade.| Hah! Alright!
   What do you think about the stars in the sky?| 'S okay, I guess.
  That is an interesting response! Battery low... Shut doooowwwwn...| Booooo.
  BMO, that was weak.| What now?
  Ooh, ooh! Dude, I know somethin' totally rockin' we can do!| Whoa! What?!
  Let's use our imaginations, man!| Barf that! Imagination is for turbo nerds who can't handle how kick-butt reality is! I'm a kick-butt reality master!! I would rather die than be imaginative. I mean that.
  Eh. Your loss.  AAAH!!! Lava!! Lava all around us!!  Lava on the floor!| Shut up, man...
